from,to,count
广东,贵州,4075
广西,贵州,8299
海南,贵州,204
四川,贵州,100138
云南,贵州,18673
西藏,贵州,352
陕西,贵州,1646
甘肃,贵州,300
青海,贵州,292
宁夏,贵州,42
新疆,贵州,689
北京,云南,1155
天津,云南,323
河北,云南,2213
山西,云南,1033
内蒙古,云南,356
辽宁,云南,1078
吉林,云南,926
黑龙江,云南,1007
上海,云南,1450
江苏,云南,5645
浙江,云南,17694
安徽,云南,2436
福建,云南,2173
江西,云南,2016
山东,云南,3202
河南,云南,4452
湖北,云南,4160
湖南,云南,21235
广东,云南,6684
广西,云南,8678
海南,云南,1064
四川,云南,127454
贵州,云南,27375
西藏,云南,802
陕西,云南,3084
甘肃,云南,1099
青海,云南,403
宁夏,云南,161
新疆,云南,906
北京,陕西,5544
天津,陕西,1495
河北,陕西,15593
山西,陕西,15486
内蒙古,陕西,6488
辽宁,陕西,5979
吉林,陕西,3084
黑龙江,陕西,3610
上海,陕西,1515
江苏,陕西,14827
浙江,陕西,17176
安徽,陕西,9241
福建,陕西,3364
江西,陕西,3055
山东,陕西,12354
河南,陕西,43696
湖北,陕西,12191
湖南,陕西,5316
广东,陕西,3213
广西,陕西,1767
海南,陕西,288
四川,陕西,41843
贵州,陕西,1853
云南,陕西,3413
西藏,陕西,3898
甘肃,陕西,37122
青海,陕西,10479
宁夏,陕西,7148
新疆,陕西,23550
北京,甘肃,1771
天津,甘肃,721
河北,甘肃,6708
山西,甘肃,4242
内蒙古,甘肃,3165
辽宁,甘肃,3272
吉林,甘肃,1818
黑龙江,甘肃,1720
上海,甘肃,1093
江苏,甘肃,9600
浙江,甘肃,16777
安徽,甘肃,3902
福建,甘肃,1363
江西,甘肃,1536
山东,甘肃,9774
河南,甘肃,22483
湖北,甘肃,2937
湖南,甘肃,2807
广东,甘肃,1332
广西,甘肃,517
海南,甘肃,66
四川,甘肃,20334
云南,甘肃,861
西藏,甘肃,2021
陕西,甘肃,36004
青海,甘肃,13938
宁夏,甘肃,8224
新疆,甘肃,19908
北京,青海,764
天津,青海,222
河北,青海,3743
山西,青海,1423
内蒙古,青海,408
辽宁,青海,1694
吉林,青海,689
黑龙江,青海,390
上海,青海,323
江苏,青海,8039
浙江,青海,8179
安徽,青海,2393
福建,青海,657
江西,青海,384
山东,青海,4452
河南,青海,14068
湖北,青海,902
湖南,青海,1791
广东,青海,272
广西,青海,532
海南,青海,34
四川,青海,19640
贵州,青海,222
云南,青海,203
西藏,青海,732
陕西,青海,14249
甘肃,青海,26039
宁夏,青海,1310
新疆,青海,2065
北京,宁夏,404
天津,宁夏,350
河北,宁夏,3469
山西,宁夏,1364
内蒙古,宁夏,6210
辽宁,宁夏,2368
吉林,宁夏,615
黑龙江,宁夏,1226
上海,宁夏,379
江苏,宁夏,3880
浙江,宁夏,7065
安徽,宁夏,2376
福建,宁夏,361
江西,宁夏,158
山东,宁夏,3624
河南,宁夏,9369
湖北,宁夏,619
湖南,宁夏,818
广东,宁夏,164
广西,宁夏,101
海南,宁夏,1
四川,宁夏,4782
贵州,宁夏,130
云南,宁夏,113
西藏,宁夏,29
陕西,宁夏,18593
甘肃,宁夏,20489
